drive_efficiency,drop_ratio,low_density_growth_rate,density_growth_curve,suppression_rate
0.15,0.0,10.0,concave,0
0.15,0.125,10.0,concave,0
0.15,0.25,10.0,concave,0
0.15,0.375,10.0,concave,0
0.15,0.5,10.0,concave,0
0.15,0.625,10.0,concave,0
0.15,0.75,10.0,concave,0
0.15,0.875,10.0,concave,0
0.15,1.0,10.0,concave,0
0.15,1.125,10.0,concave,0
0.15,1.25,10.0,concave,0
0.15,1.375,10.0,concave,0
0.15,1.5,10.0,concave,0
0.15,1.625,10.0,concave,0
0.15,1.75,10.0,concave,0
0.15,1.875,10.0,concave,0
0.15,2.0,10.0,concave,0
0.15,2.125,10.0,concave,0
0.15,2.25,10.0,concave,1.00
0.15,2.375,10.0,concave,1.00
0.15,2.5,10.0,concave,1.00
0.2,0.0,10.0,concave,0
0.2,0.125,10.0,concave,0
0.2,0.25,10.0,concave,0
0.2,0.375,10.0,concave,0
0.2,0.5,10.0,concave,0
0.2,0.625,10.0,concave,0
0.2,0.75,10.0,concave,0
0.2,0.875,10.0,concave,0
0.2,1.0,10.0,concave,0
0.2,1.125,10.0,concave,0
0.2,1.25,10.0,concave,0
0.2,1.375,10.0,concave,0
0.2,1.5,10.0,concave,0
0.2,1.625,10.0,concave,0
0.2,1.75,10.0,concave,0
0.2,1.875,10.0,concave,0
0.2,2.0,10.0,concave,0
0.2,2.125,10.0,concave,1.00
0.2,2.25,10.0,concave,1.00
0.2,2.375,10.0,concave,1.00
0.2,2.5,10.0,concave,1.00
0.25,0.0,10.0,concave,0
0.25,0.125,10.0,concave,0
0.25,0.25,10.0,concave,0
0.25,0.375,10.0,concave,0
0.25,0.5,10.0,concave,0
0.25,0.625,10.0,concave,0
0.25,0.75,10.0,concave,0
0.25,0.875,10.0,concave,0
0.25,1.0,10.0,concave,0
0.25,1.125,10.0,concave,0
0.25,1.25,10.0,concave,0
0.25,1.375,10.0,concave,0
0.25,1.5,10.0,concave,0
0.25,1.625,10.0,concave,0
0.25,1.75,10.0,concave,0
0.25,1.875,10.0,concave,0
0.25,2.0,10.0,concave,1.00
0.25,2.125,10.0,concave,1.00
0.25,2.25,10.0,concave,1.00
0.25,2.375,10.0,concave,1.00
0.25,2.5,10.0,concave,1.00
0.3,0.0,10.0,concave,0
0.3,0.125,10.0,concave,0
0.3,0.25,10.0,concave,0
0.3,0.375,10.0,concave,0
0.3,0.5,10.0,concave,0
0.3,0.625,10.0,concave,0
0.3,0.75,10.0,concave,0
0.3,0.875,10.0,concave,0
0.3,1.0,10.0,concave,0
0.3,1.125,10.0,concave,0
0.3,1.25,10.0,concave,0
0.3,1.375,10.0,concave,0
0.3,1.5,10.0,concave,0
0.3,1.625,10.0,concave,0
0.3,1.75,10.0,concave,0
0.3,1.875,10.0,concave,1.00
0.3,2.0,10.0,concave,1.00
0.3,2.125,10.0,concave,1.00
0.3,2.25,10.0,concave,1.00
0.3,2.375,10.0,concave,1.00
0.3,2.5,10.0,concave,1.00
0.35,0.0,10.0,concave,0
0.35,0.125,10.0,concave,0
0.35,0.25,10.0,concave,0
0.35,0.375,10.0,concave,0
0.35,0.5,10.0,concave,0
0.35,0.625,10.0,concave,0
0.35,0.75,10.0,concave,0
0.35,0.875,10.0,concave,0
0.35,1.0,10.0,concave,0
0.35,1.125,10.0,concave,0
0.35,1.25,10.0,concave,0
0.35,1.375,10.0,concave,0
0.35,1.5,10.0,concave,0
0.35,1.625,10.0,concave,0
0.35,1.75,10.0,concave,1.00
0.35,1.875,10.0,concave,1.00
0.35,2.0,10.0,concave,1.00
0.35,2.125,10.0,concave,1.00
0.35,2.25,10.0,concave,1.00
0.35,2.375,10.0,concave,1.00
0.35,2.5,10.0,concave,1.00
0.4,0.0,10.0,concave,0
0.4,0.125,10.0,concave,0
0.4,0.25,10.0,concave,0
0.4,0.375,10.0,concave,0
0.4,0.5,10.0,concave,0
0.4,0.625,10.0,concave,0
0.4,0.75,10.0,concave,0
0.4,0.875,10.0,concave,0
0.4,1.0,10.0,concave,0
0.4,1.125,10.0,concave,0
0.4,1.25,10.0,concave,0
0.4,1.375,10.0,concave,0
0.4,1.5,10.0,concave,0
0.4,1.625,10.0,concave,1.00
0.4,1.75,10.0,concave,1.00
0.4,1.875,10.0,concave,1.00
0.4,2.0,10.0,concave,1.00
0.4,2.125,10.0,concave,1.00
0.4,2.25,10.0,concave,1.00
0.4,2.375,10.0,concave,1.00
0.4,2.5,10.0,concave,1.00
0.45,0.0,10.0,concave,0
0.45,0.125,10.0,concave,0
0.45,0.25,10.0,concave,0
0.45,0.375,10.0,concave,0
0.45,0.5,10.0,concave,0
0.45,0.625,10.0,concave,0
0.45,0.75,10.0,concave,0
0.45,0.875,10.0,concave,0
0.45,1.0,10.0,concave,0
0.45,1.125,10.0,concave,0
0.45,1.25,10.0,concave,0
0.45,1.375,10.0,concave,0
0.45,1.5,10.0,concave,1.00
0.45,1.625,10.0,concave,1.00
0.45,1.75,10.0,concave,1.00
0.45,1.875,10.0,concave,1.00
0.45,2.0,10.0,concave,1.00
0.45,2.125,10.0,concave,1.00
0.45,2.25,10.0,concave,1.00
0.45,2.375,10.0,concave,1.00
0.45,2.5,10.0,concave,1.00
0.5,0.0,10.0,concave,0
0.5,0.125,10.0,concave,0
0.5,0.25,10.0,concave,0
0.5,0.375,10.0,concave,0
0.5,0.5,10.0,concave,0
0.5,0.625,10.0,concave,0
0.5,0.75,10.0,concave,0
0.5,0.875,10.0,concave,0
0.5,1.0,10.0,concave,0
0.5,1.125,10.0,concave,0
0.5,1.25,10.0,concave,0
0.5,1.375,10.0,concave,1.00
0.5,1.5,10.0,concave,1.00
0.5,1.625,10.0,concave,1.00
0.5,1.75,10.0,concave,1.00
0.5,1.875,10.0,concave,1.00
0.5,2.0,10.0,concave,1.00
0.5,2.125,10.0,concave,1.00
0.5,2.25,10.0,concave,1.00
0.5,2.375,10.0,concave,1.00
0.5,2.5,10.0,concave,1.00
0.55,0.0,10.0,concave,0
0.55,0.125,10.0,concave,0
0.55,0.25,10.0,concave,0
0.55,0.375,10.0,concave,0
0.55,0.5,10.0,concave,0
0.55,0.625,10.0,concave,0
0.55,0.75,10.0,concave,0
0.55,0.875,10.0,concave,0
0.55,1.0,10.0,concave,0
0.55,1.125,10.0,concave,0
0.55,1.25,10.0,concave,1.00
0.55,1.375,10.0,concave,1.00
0.55,1.5,10.0,concave,1.00
0.55,1.625,10.0,concave,1.00
0.55,1.75,10.0,concave,1.00
0.55,1.875,10.0,concave,1.00
0.55,2.0,10.0,concave,1.00
0.55,2.125,10.0,concave,1.00
0.55,2.25,10.0,concave,1.00
0.55,2.375,10.0,concave,1.00
0.55,2.5,10.0,concave,1.00
0.6,0.0,10.0,concave,0
0.6,0.125,10.0,concave,0
0.6,0.25,10.0,concave,0
0.6,0.375,10.0,concave,0
0.6,0.5,10.0,concave,0
0.6,0.625,10.0,concave,0
0.6,0.75,10.0,concave,0
0.6,0.875,10.0,concave,0
0.6,1.0,10.0,concave,0
0.6,1.125,10.0,concave,1.00
0.6,1.25,10.0,concave,1.00
0.6,1.375,10.0,concave,1.00
0.6,1.5,10.0,concave,1.00
0.6,1.625,10.0,concave,1.00
0.6,1.75,10.0,concave,1.00
0.6,1.875,10.0,concave,1.00
0.6,2.0,10.0,concave,1.00
0.6,2.125,10.0,concave,1.00
0.6,2.25,10.0,concave,1.00
0.6,2.375,10.0,concave,1.00
0.6,2.5,10.0,concave,1.00
0.65,0.0,10.0,concave,0
0.65,0.125,10.0,concave,0
0.65,0.25,10.0,concave,0
0.65,0.375,10.0,concave,0
0.65,0.5,10.0,concave,0
0.65,0.625,10.0,concave,0
0.65,0.75,10.0,concave,0
0.65,0.875,10.0,concave,0
0.65,1.0,10.0,concave,1.00
0.65,1.125,10.0,concave,1.00
0.65,1.25,10.0,concave,1.00
0.65,1.375,10.0,concave,1.00
0.65,1.5,10.0,concave,1.00
0.65,1.625,10.0,concave,1.00
0.65,1.75,10.0,concave,1.00
0.65,1.875,10.0,concave,1.00
0.65,2.0,10.0,concave,1.00
0.65,2.125,10.0,concave,1.00
0.65,2.25,10.0,concave,1.00
0.65,2.375,10.0,concave,1.00
0.65,2.5,10.0,concave,1.00
0.7,0.0,10.0,concave,0
0.7,0.125,10.0,concave,0
0.7,0.25,10.0,concave,0
0.7,0.375,10.0,concave,0
0.7,0.5,10.0,concave,0
0.7,0.625,10.0,concave,0
0.7,0.75,10.0,concave,0
0.7,0.875,10.0,concave,1.00
0.7,1.0,10.0,concave,1.00
0.7,1.125,10.0,concave,1.00
0.7,1.25,10.0,concave,1.00
0.7,1.375,10.0,concave,1.00
0.7,1.5,10.0,concave,1.00
0.7,1.625,10.0,concave,1.00
0.7,1.75,10.0,concave,1.00
0.7,1.875,10.0,concave,1.00
0.7,2.0,10.0,concave,1.00
0.7,2.125,10.0,concave,1.00
0.7,2.25,10.0,concave,1.00
0.7,2.375,10.0,concave,1.00
0.7,2.5,10.0,concave,1.00
0.75,0.0,10.0,concave,0
0.75,0.125,10.0,concave,0
0.75,0.25,10.0,concave,0
0.75,0.375,10.0,concave,0
0.75,0.5,10.0,concave,0
0.75,0.625,10.0,concave,0
0.75,0.75,10.0,concave,1.00
0.75,0.875,10.0,concave,1.00
0.75,1.0,10.0,concave,1.00
0.75,1.125,10.0,concave,1.00
0.75,1.25,10.0,concave,1.00
0.75,1.375,10.0,concave,1.00
0.75,1.5,10.0,concave,1.00
0.75,1.625,10.0,concave,1.00
0.75,1.75,10.0,concave,1.00
0.75,1.875,10.0,concave,1.00
0.75,2.0,10.0,concave,1.00
0.75,2.125,10.0,concave,1.00
0.75,2.25,10.0,concave,1.00
0.75,2.375,10.0,concave,1.00
0.75,2.5,10.0,concave,1.00
0.8,0.0,10.0,concave,0
0.8,0.125,10.0,concave,0
0.8,0.25,10.0,concave,0
0.8,0.375,10.0,concave,0
0.8,0.5,10.0,concave,0
0.8,0.625,10.0,concave,1.00
0.8,0.75,10.0,concave,1.00
0.8,0.875,10.0,concave,1.00
0.8,1.0,10.0,concave,1.00
0.8,1.125,10.0,concave,1.00
0.8,1.25,10.0,concave,1.00
0.8,1.375,10.0,concave,1.00
0.8,1.5,10.0,concave,1.00
0.8,1.625,10.0,concave,1.00
0.8,1.75,10.0,concave,1.00
0.8,1.875,10.0,concave,1.00
0.8,2.0,10.0,concave,1.00
0.8,2.125,10.0,concave,1.00
0.8,2.25,10.0,concave,1.00
0.8,2.375,10.0,concave,1.00
0.8,2.5,10.0,concave,1.00
0.85,0.0,10.0,concave,0
0.85,0.125,10.0,concave,0
0.85,0.25,10.0,concave,0
0.85,0.375,10.0,concave,0
0.85,0.5,10.0,concave,1.00
0.85,0.625,10.0,concave,1.00
0.85,0.75,10.0,concave,1.00
0.85,0.875,10.0,concave,1.00
0.85,1.0,10.0,concave,1.00
0.85,1.125,10.0,concave,1.00
0.85,1.25,10.0,concave,1.00
0.85,1.375,10.0,concave,1.00
0.85,1.5,10.0,concave,1.00
0.85,1.625,10.0,concave,1.00
0.85,1.75,10.0,concave,1.00
0.85,1.875,10.0,concave,1.00
0.85,2.0,10.0,concave,1.00
0.85,2.125,10.0,concave,1.00
0.85,2.25,10.0,concave,1.00
0.85,2.375,10.0,concave,1.00
0.85,2.5,10.0,concave,1.00
0.9,0.0,10.0,concave,0
0.9,0.125,10.0,concave,0
0.9,0.25,10.0,concave,0
0.9,0.375,10.0,concave,1.00
0.9,0.5,10.0,concave,1.00
0.9,0.625,10.0,concave,1.00
0.9,0.75,10.0,concave,1.00
0.9,0.875,10.0,concave,1.00
0.9,1.0,10.0,concave,1.00
0.9,1.125,10.0,concave,1.00
0.9,1.25,10.0,concave,1.00
0.9,1.375,10.0,concave,1.00
0.9,1.5,10.0,concave,1.00
0.9,1.625,10.0,concave,1.00
0.9,1.75,10.0,concave,1.00
0.9,1.875,10.0,concave,1.00
0.9,2.0,10.0,concave,1.00
0.9,2.125,10.0,concave,1.00
0.9,2.25,10.0,concave,1.00
0.9,2.375,10.0,concave,1.00
0.9,2.5,10.0,concave,1.00
0.95,0.0,10.0,concave,0
0.95,0.125,10.0,concave,0
0.95,0.25,10.0,concave,1.00
0.95,0.375,10.0,concave,1.00
0.95,0.5,10.0,concave,1.00
0.95,0.625,10.0,concave,1.00
0.95,0.75,10.0,concave,1.00
0.95,0.875,10.0,concave,1.00
0.95,1.0,10.0,concave,1.00
0.95,1.125,10.0,concave,1.00
0.95,1.25,10.0,concave,1.00
0.95,1.375,10.0,concave,1.00
0.95,1.5,10.0,concave,1.00
0.95,1.625,10.0,concave,1.00
0.95,1.75,10.0,concave,1.00
0.95,1.875,10.0,concave,1.00
0.95,2.0,10.0,concave,1.00
0.95,2.125,10.0,concave,1.00
0.95,2.25,10.0,concave,1.00
0.95,2.375,10.0,concave,1.00
0.95,2.5,10.0,concave,1.00
1.0,0.0,10.0,concave,0
1.0,0.125,10.0,concave,1.00
1.0,0.25,10.0,concave,1.00
1.0,0.375,10.0,concave,1.00
1.0,0.5,10.0,concave,1.00
1.0,0.625,10.0,concave,1.00
1.0,0.75,10.0,concave,1.00
1.0,0.875,10.0,concave,1.00
1.0,1.0,10.0,concave,1.00
1.0,1.125,10.0,concave,1.00
1.0,1.25,10.0,concave,1.00
1.0,1.375,10.0,concave,1.00
1.0,1.5,10.0,concave,1.00
1.0,1.625,10.0,concave,1.00
1.0,1.75,10.0,concave,1.00
1.0,1.875,10.0,concave,1.00
1.0,2.0,10.0,concave,1.00
1.0,2.125,10.0,concave,1.00
1.0,2.25,10.0,concave,1.00
1.0,2.375,10.0,concave,1.00
1.0,2.5,10.0,concave,1.00
0.0,0.0,10.0,convex,0
0.0,1.25,10.0,convex,0
0.0,10.0,10.0,convex,0
0.0,11.25,10.0,convex,0
0.0,12.5,10.0,convex,0
0.0,13.75,10.0,convex,0
0.0,15.0,10.0,convex,0
0.0,16.25,10.0,convex,0
0.0,17.5,10.0,convex,0
0.0,18.75,10.0,convex,0
0.0,2.5,10.0,convex,0
0.0,20.0,10.0,convex,0
0.0,21.25,10.0,convex,0
0.0,22.5,10.0,convex,0
0.0,23.75,10.0,convex,0
0.0,25.0,10.0,convex,1.00
0.0,3.75,10.0,convex,0
0.0,5.0,10.0,convex,0
0.0,6.25,10.0,convex,0
0.0,7.5,10.0,convex,0
0.0,8.75,10.0,convex,0
0.05,0.0,10.0,convex,0
0.05,1.25,10.0,convex,0
0.05,10.0,10.0,convex,0
0.05,11.25,10.0,convex,0
0.05,12.5,10.0,convex,0
0.05,13.75,10.0,convex,0
0.05,15.0,10.0,convex,0
0.05,16.25,10.0,convex,0
0.05,17.5,10.0,convex,0
0.05,18.75,10.0,convex,0
0.05,2.5,10.0,convex,0
0.05,20.0,10.0,convex,0
0.05,21.25,10.0,convex,0
0.05,22.5,10.0,convex,0
0.05,23.75,10.0,convex,1.00
0.05,25.0,10.0,convex,1.00
0.05,3.75,10.0,convex,0
0.05,5.0,10.0,convex,0
0.05,6.25,10.0,convex,0
0.05,7.5,10.0,convex,0
0.05,8.75,10.0,convex,0
0.1,0.0,10.0,convex,0
0.1,1.25,10.0,convex,0
0.1,10.0,10.0,convex,0
0.1,11.25,10.0,convex,0
0.1,12.5,10.0,convex,0
0.1,13.75,10.0,convex,0
0.1,15.0,10.0,convex,0
0.1,16.25,10.0,convex,0
0.1,17.5,10.0,convex,0
0.1,18.75,10.0,convex,0
0.1,2.5,10.0,convex,0
0.1,20.0,10.0,convex,0
0.1,21.25,10.0,convex,0
0.1,22.5,10.0,convex,1.00
0.1,23.75,10.0,convex,1.00
0.1,25.0,10.0,convex,1.00
0.1,3.75,10.0,convex,0
0.1,5.0,10.0,convex,0
0.1,6.25,10.0,convex,0
0.1,7.5,10.0,convex,0
0.1,8.75,10.0,convex,0
0.15,0.0,10.0,convex,0
0.15,1.25,10.0,convex,0
0.15,10.0,10.0,convex,0
0.15,11.25,10.0,convex,0
0.15,12.5,10.0,convex,0
0.15,13.75,10.0,convex,0
0.15,15.0,10.0,convex,0
0.15,16.25,10.0,convex,0
0.15,17.5,10.0,convex,0
0.15,18.75,10.0,convex,0
0.15,2.5,10.0,convex,0
0.15,20.0,10.0,convex,0
0.15,21.25,10.0,convex,1.00
0.15,22.5,10.0,convex,1.00
0.15,23.75,10.0,convex,1.00
0.15,25.0,10.0,convex,1.00
0.15,3.75,10.0,convex,0
0.15,5.0,10.0,convex,0
0.15,6.25,10.0,convex,0
0.15,7.5,10.0,convex,0
0.15,8.75,10.0,convex,0
0.2,0.0,10.0,convex,0
0.2,1.25,10.0,convex,0
0.2,10.0,10.0,convex,0
0.2,11.25,10.0,convex,0
0.2,12.5,10.0,convex,0
0.2,13.75,10.0,convex,0
0.2,15.0,10.0,convex,0
0.2,16.25,10.0,convex,0
0.2,17.5,10.0,convex,0
0.2,18.75,10.0,convex,0
0.2,2.5,10.0,convex,0
0.2,20.0,10.0,convex,1.00
0.2,21.25,10.0,convex,1.00
0.2,22.5,10.0,convex,1.00
0.2,23.75,10.0,convex,1.00
0.2,25.0,10.0,convex,1.00
0.2,3.75,10.0,convex,0
0.2,5.0,10.0,convex,0
0.2,6.25,10.0,convex,0
0.2,7.5,10.0,convex,0
0.2,8.75,10.0,convex,0
0.25,0.0,10.0,convex,0
0.25,1.25,10.0,convex,0
0.25,10.0,10.0,convex,0
0.25,11.25,10.0,convex,0
0.25,12.5,10.0,convex,0
0.25,13.75,10.0,convex,0
0.25,15.0,10.0,convex,0
0.25,16.25,10.0,convex,0
0.25,17.5,10.0,convex,0
0.25,18.75,10.0,convex,1.00
0.25,2.5,10.0,convex,0
0.25,20.0,10.0,convex,1.00
0.25,21.25,10.0,convex,1.00
0.25,22.5,10.0,convex,1.00
0.25,23.75,10.0,convex,1.00
0.25,25.0,10.0,convex,1.00
0.25,3.75,10.0,convex,0
0.25,5.0,10.0,convex,0
0.25,6.25,10.0,convex,0
0.25,7.5,10.0,convex,0
0.25,8.75,10.0,convex,0
0.3,0.0,10.0,convex,0
0.3,1.25,10.0,convex,0
0.3,10.0,10.0,convex,0
0.3,11.25,10.0,convex,0
0.3,12.5,10.0,convex,0
0.3,13.75,10.0,convex,0
0.3,15.0,10.0,convex,0
0.3,16.25,10.0,convex,0
0.3,17.5,10.0,convex,1.00
0.3,18.75,10.0,convex,1.00
0.3,2.5,10.0,convex,0
0.3,20.0,10.0,convex,1.00
0.3,21.25,10.0,convex,1.00
0.3,22.5,10.0,convex,1.00
0.3,23.75,10.0,convex,1.00
0.3,25.0,10.0,convex,1.00
0.3,3.75,10.0,convex,0
0.3,5.0,10.0,convex,0
0.3,6.25,10.0,convex,0
0.3,7.5,10.0,convex,0
0.3,8.75,10.0,convex,0
0.35,0.0,10.0,convex,0
0.35,1.25,10.0,convex,0
0.35,10.0,10.0,convex,0
0.35,11.25,10.0,convex,0
0.35,12.5,10.0,convex,0
0.35,13.75,10.0,convex,0
0.35,15.0,10.0,convex,0
0.35,16.25,10.0,convex,1.00
0.35,17.5,10.0,convex,1.00
0.35,18.75,10.0,convex,1.00
0.35,2.5,10.0,convex,0
0.35,20.0,10.0,convex,1.00
0.35,21.25,10.0,convex,1.00
0.35,22.5,10.0,convex,1.00
0.35,23.75,10.0,convex,1.00
0.35,25.0,10.0,convex,1.00
0.35,3.75,10.0,convex,0
0.35,5.0,10.0,convex,0
0.35,6.25,10.0,convex,0
0.35,7.5,10.0,convex,0
0.35,8.75,10.0,convex,0
0.4,0.0,10.0,convex,0
0.4,1.25,10.0,convex,0
0.4,10.0,10.0,convex,0
0.4,11.25,10.0,convex,0
0.4,12.5,10.0,convex,0
0.4,13.75,10.0,convex,0
0.4,15.0,10.0,convex,1.00
0.4,16.25,10.0,convex,1.00
0.4,17.5,10.0,convex,1.00
0.4,18.75,10.0,convex,1.00
0.4,2.5,10.0,convex,0
0.4,20.0,10.0,convex,1.00
0.4,21.25,10.0,convex,1.00
0.4,22.5,10.0,convex,1.00
0.4,23.75,10.0,convex,1.00
0.4,25.0,10.0,convex,1.00
0.4,3.75,10.0,convex,0
0.4,5.0,10.0,convex,0
0.4,6.25,10.0,convex,0
0.4,7.5,10.0,convex,0
0.4,8.75,10.0,convex,0
0.45,0.0,10.0,convex,0
0.45,1.25,10.0,convex,0
0.45,10.0,10.0,convex,0
0.45,11.25,10.0,convex,0
0.45,12.5,10.0,convex,0
0.45,13.75,10.0,convex,1.00
0.45,15.0,10.0,convex,1.00
0.45,16.25,10.0,convex,1.00
0.45,17.5,10.0,convex,1.00
0.45,18.75,10.0,convex,1.00
0.45,2.5,10.0,convex,0
0.45,20.0,10.0,convex,1.00
0.45,21.25,10.0,convex,1.00
0.45,22.5,10.0,convex,1.00
0.45,23.75,10.0,convex,1.00
0.45,25.0,10.0,convex,1.00
0.45,3.75,10.0,convex,0
0.45,5.0,10.0,convex,0
0.45,6.25,10.0,convex,0
0.45,7.5,10.0,convex,0
0.45,8.75,10.0,convex,0
0.5,0.0,10.0,convex,0
0.5,1.25,10.0,convex,0
0.5,10.0,10.0,convex,0
0.5,11.25,10.0,convex,0
0.5,12.5,10.0,convex,1.00
0.5,13.75,10.0,convex,1.00
0.5,15.0,10.0,convex,1.00
0.5,16.25,10.0,convex,1.00
0.5,17.5,10.0,convex,1.00
0.5,18.75,10.0,convex,1.00
0.5,2.5,10.0,convex,0
0.5,20.0,10.0,convex,1.00
0.5,21.25,10.0,convex,1.00
0.5,22.5,10.0,convex,1.00
0.5,23.75,10.0,convex,1.00
0.5,25.0,10.0,convex,1.00
0.5,3.75,10.0,convex,0
0.5,5.0,10.0,convex,0
0.5,6.25,10.0,convex,0
0.5,7.5,10.0,convex,0
0.5,8.75,10.0,convex,0
0.55,0.0,10.0,convex,0
0.55,1.25,10.0,convex,0
0.55,10.0,10.0,convex,0
0.55,11.25,10.0,convex,1.00
0.55,12.5,10.0,convex,1.00
0.55,13.75,10.0,convex,1.00
0.55,15.0,10.0,convex,1.00
0.55,16.25,10.0,convex,1.00
0.55,17.5,10.0,convex,1.00
0.55,18.75,10.0,convex,1.00
0.55,2.5,10.0,convex,0
0.55,20.0,10.0,convex,1.00
0.55,21.25,10.0,convex,1.00
0.55,22.5,10.0,convex,1.00
0.55,23.75,10.0,convex,1.00
0.55,25.0,10.0,convex,1.00
0.55,3.75,10.0,convex,0
0.55,5.0,10.0,convex,0
0.55,6.25,10.0,convex,0
0.55,7.5,10.0,convex,0
0.55,8.75,10.0,convex,0
0.6,0.0,10.0,convex,0
0.6,1.25,10.0,convex,0
0.6,10.0,10.0,convex,1.00
0.6,11.25,10.0,convex,1.00
0.6,12.5,10.0,convex,1.00
0.6,13.75,10.0,convex,1.00
0.6,15.0,10.0,convex,1.00
0.6,16.25,10.0,convex,1.00
0.6,17.5,10.0,convex,1.00
0.6,18.75,10.0,convex,1.00
0.6,2.5,10.0,convex,0
0.6,20.0,10.0,convex,1.00
0.6,21.25,10.0,convex,1.00
0.6,22.5,10.0,convex,1.00
0.6,23.75,10.0,convex,1.00
0.6,25.0,10.0,convex,1.00
0.6,3.75,10.0,convex,0
0.6,5.0,10.0,convex,0
0.6,6.25,10.0,convex,0
0.6,7.5,10.0,convex,0
0.6,8.75,10.0,convex,0
0.65,0.0,10.0,convex,0
0.65,1.25,10.0,convex,0
0.65,10.0,10.0,convex,1.00
0.65,11.25,10.0,convex,1.00
0.65,12.5,10.0,convex,1.00
0.65,13.75,10.0,convex,1.00
0.65,15.0,10.0,convex,1.00
0.65,16.25,10.0,convex,1.00
0.65,17.5,10.0,convex,1.00
0.65,18.75,10.0,convex,1.00
0.65,2.5,10.0,convex,0
0.65,20.0,10.0,convex,1.00
0.65,21.25,10.0,convex,1.00
0.65,22.5,10.0,convex,1.00
0.65,23.75,10.0,convex,1.00
0.65,25.0,10.0,convex,1.00
0.65,3.75,10.0,convex,0
0.65,5.0,10.0,convex,0
0.65,6.25,10.0,convex,0
0.65,7.5,10.0,convex,0
0.65,8.75,10.0,convex,1.00
0.7,0.0,10.0,convex,0
0.7,1.25,10.0,convex,0
0.7,10.0,10.0,convex,1.00
0.7,11.25,10.0,convex,1.00
0.7,12.5,10.0,convex,1.00
0.7,13.75,10.0,convex,1.00
0.7,15.0,10.0,convex,1.00
0.7,16.25,10.0,convex,1.00
0.7,17.5,10.0,convex,1.00
0.7,18.75,10.0,convex,1.00
0.7,2.5,10.0,convex,0
0.7,20.0,10.0,convex,1.00
0.7,21.25,10.0,convex,1.00
0.7,22.5,10.0,convex,1.00
0.7,23.75,10.0,convex,1.00
0.7,25.0,10.0,convex,1.00
0.7,3.75,10.0,convex,0
0.7,5.0,10.0,convex,0
0.7,6.25,10.0,convex,0
0.7,7.5,10.0,convex,1.00
0.7,8.75,10.0,convex,1.00
0.75,0.0,10.0,convex,0
0.75,1.25,10.0,convex,0
0.75,10.0,10.0,convex,1.00
0.75,11.25,10.0,convex,1.00
0.75,12.5,10.0,convex,1.00
0.75,13.75,10.0,convex,1.00
0.75,15.0,10.0,convex,1.00
0.75,16.25,10.0,convex,1.00
0.75,17.5,10.0,convex,1.00
0.75,18.75,10.0,convex,1.00
0.75,2.5,10.0,convex,0
0.75,20.0,10.0,convex,1.00
0.75,21.25,10.0,convex,1.00
0.75,22.5,10.0,convex,1.00
0.75,23.75,10.0,convex,1.00
0.75,25.0,10.0,convex,1.00
0.75,3.75,10.0,convex,0
0.75,5.0,10.0,convex,0
0.75,6.25,10.0,convex,1.00
0.75,7.5,10.0,convex,1.00
0.75,8.75,10.0,convex,1.00
0.8,0.0,10.0,convex,0
