heterozygotes_survival_rate,resistance_rate,drop_ratio,drive_efficiency,low_density_growth_rate,density_growth_curve,suppression_rate,type
0.050,0.5,0.1,0.5,6.0,linear,0,haplolethal
0.050,0.5,0.15,0.5,6.0,linear,0,haplolethal
0.050,0.5,0.2,0.5,6.0,linear,0,haplolethal
0.050,0.5,0.25,0.5,6.0,linear,0,haplolethal
0.050,0.5,0.3,0.5,6.0,linear,0,haplolethal
0.050,0.5,0.35,0.5,6.0,linear,0,haplolethal
0.050,0.5,0.4,0.5,6.0,linear,0,haplolethal
0.050,0.5,0.45,0.5,6.0,linear,0,haplolethal
0.050,0.5,0.5,0.5,6.0,linear,1.00,haplolethal
0.050,0.5,0.55,0.5,6.0,linear,1.00,haplolethal
0.050,0.5,0.6,0.5,6.0,linear,1.00,haplolethal
0.050,0.5,0.65,0.5,6.0,linear,1.00,haplolethal
0.050,0.5,0.7,0.5,6.0,linear,1.00,haplolethal
0.050,0.5,0.75,0.5,6.0,linear,1.00,haplolethal
0.050,0.5,0.8,0.5,6.0,linear,1.00,haplolethal
0.050,0.5,0.85,0.5,6.0,linear,1.00,haplolethal
0.050,0.5,0.9,0.5,6.0,linear,1.00,haplolethal
0.050,0.5,0.95,0.5,6.0,linear,1.00,haplolethal
0.050,0.5,1.0,0.5,6.0,linear,1.00,haplolethal
0.075,0.5,0.0,0.5,6.0,linear,0,haplolethal
0.075,0.5,0.05,0.5,6.0,linear,0,haplolethal
0.075,0.5,0.1,0.5,6.0,linear,0,haplolethal
0.075,0.5,0.15,0.5,6.0,linear,0,haplolethal
0.075,0.5,0.2,0.5,6.0,linear,0,haplolethal
0.075,0.5,0.25,0.5,6.0,linear,0,haplolethal
0.075,0.5,0.3,0.5,6.0,linear,0,haplolethal
0.075,0.5,0.35,0.5,6.0,linear,0,haplolethal
0.075,0.5,0.4,0.5,6.0,linear,1.00,haplolethal
0.075,0.5,0.45,0.5,6.0,linear,1.00,haplolethal
0.075,0.5,0.5,0.5,6.0,linear,1.00,haplolethal
0.075,0.5,0.55,0.5,6.0,linear,1.00,haplolethal
0.075,0.5,0.6,0.5,6.0,linear,1.00,haplolethal
0.075,0.5,0.65,0.5,6.0,linear,1.00,haplolethal
0.075,0.5,0.7,0.5,6.0,linear,1.00,haplolethal
0.075,0.5,0.75,0.5,6.0,linear,1.00,haplolethal
0.075,0.5,0.8,0.5,6.0,linear,1.00,haplolethal
0.075,0.5,0.85,0.5,6.0,linear,1.00,haplolethal
0.075,0.5,0.9,0.5,6.0,linear,1.00,haplolethal
0.075,0.5,0.95,0.5,6.0,linear,1.00,haplolethal
0.075,0.5,1.0,0.5,6.0,linear,1.00,haplolethal
0.100,0.5,0.0,0.5,6.0,linear,0,haplolethal
0.100,0.5,0.05,0.5,6.0,linear,0,haplolethal
0.100,0.5,0.1,0.5,6.0,linear,0,haplolethal
0.100,0.5,0.15,0.5,6.0,linear,0,haplolethal
0.100,0.5,0.2,0.5,6.0,linear,0,haplolethal
0.100,0.5,0.25,0.5,6.0,linear,0,haplolethal
0.100,0.5,0.3,0.5,6.0,linear,1.00,haplolethal
0.100,0.5,0.35,0.5,6.0,linear,1.00,haplolethal
0.100,0.5,0.4,0.5,6.0,linear,1.00,haplolethal
0.100,0.5,0.45,0.5,6.0,linear,1.00,haplolethal
0.100,0.5,0.5,0.5,6.0,linear,1.00,haplolethal
0.100,0.5,0.55,0.5,6.0,linear,1.00,haplolethal
0.100,0.5,0.6,0.5,6.0,linear,1.00,haplolethal
0.100,0.5,0.65,0.5,6.0,linear,1.00,haplolethal
0.100,0.5,0.7,0.5,6.0,linear,1.00,haplolethal
0.100,0.5,0.75,0.5,6.0,linear,1.00,haplolethal
0.100,0.5,0.8,0.5,6.0,linear,1.00,haplolethal
0.100,0.5,0.85,0.5,6.0,linear,1.00,haplolethal
0.100,0.5,0.9,0.5,6.0,linear,1.00,haplolethal
0.100,0.5,0.95,0.5,6.0,linear,1.00,haplolethal
0.100,0.5,1.0,0.5,6.0,linear,1.00,haplolethal
0.125,0.5,0.0,0.5,6.0,linear,0,haplolethal
0.125,0.5,0.05,0.5,6.0,linear,0,haplolethal
0.125,0.5,0.1,0.5,6.0,linear,0,haplolethal
0.125,0.5,0.15,0.5,6.0,linear,0,haplolethal
0.125,0.5,0.2,0.5,6.0,linear,0,haplolethal
0.125,0.5,0.25,0.5,6.0,linear,1.00,haplolethal
0.125,0.5,0.3,0.5,6.0,linear,1.00,haplolethal
0.125,0.5,0.35,0.5,6.0,linear,1.00,haplolethal
0.125,0.5,0.4,0.5,6.0,linear,1.00,haplolethal
0.125,0.5,0.45,0.5,6.0,linear,1.00,haplolethal
0.125,0.5,0.5,0.5,6.0,linear,1.00,haplolethal
0.125,0.5,0.55,0.5,6.0,linear,1.00,haplolethal
0.125,0.5,0.6,0.5,6.0,linear,1.00,haplolethal
0.125,0.5,0.65,0.5,6.0,linear,1.00,haplolethal
0.125,0.5,0.7,0.5,6.0,linear,1.00,haplolethal
0.125,0.5,0.75,0.5,6.0,linear,1.00,haplolethal
0.125,0.5,0.8,0.5,6.0,linear,1.00,haplolethal
0.125,0.5,0.85,0.5,6.0,linear,1.00,haplolethal
0.125,0.5,0.9,0.5,6.0,linear,1.00,haplolethal
0.125,0.5,0.95,0.5,6.0,linear,1.00,haplolethal
0.125,0.5,1.0,0.5,6.0,linear,1.00,haplolethal
0.150,0.5,0.0,0.5,6.0,linear,0,haplolethal
0.150,0.5,0.05,0.5,6.0,linear,0,haplolethal
0.150,0.5,0.1,0.5,6.0,linear,0,haplolethal
0.150,0.5,0.15,0.5,6.0,linear,0,haplolethal
0.150,0.5,0.2,0.5,6.0,linear,1.00,haplolethal
0.150,0.5,0.25,0.5,6.0,linear,1.00,haplolethal
0.150,0.5,0.3,0.5,6.0,linear,1.00,haplolethal
0.150,0.5,0.35,0.5,6.0,linear,1.00,haplolethal
0.150,0.5,0.4,0.5,6.0,linear,1.00,haplolethal
0.150,0.5,0.45,0.5,6.0,linear,1.00,haplolethal
0.150,0.5,0.5,0.5,6.0,linear,1.00,haplolethal
0.150,0.5,0.55,0.5,6.0,linear,1.00,haplolethal
0.150,0.5,0.6,0.5,6.0,linear,1.00,haplolethal
0.150,0.5,0.65,0.5,6.0,linear,1.00,haplolethal
0.150,0.5,0.7,0.5,6.0,linear,1.00,haplolethal
0.150,0.5,0.75,0.5,6.0,linear,1.00,haplolethal
0.150,0.5,0.8,0.5,6.0,linear,1.00,haplolethal
0.150,0.5,0.85,0.5,6.0,linear,1.00,haplolethal
0.150,0.5,0.9,0.5,6.0,linear,1.00,haplolethal
0.150,0.5,0.95,0.5,6.0,linear,1.00,haplolethal
0.150,0.5,1.0,0.5,6.0,linear,1.00,haplolethal
0.175,0.5,0.0,0.5,6.0,linear,0,haplolethal
0.175,0.5,0.05,0.5,6.0,linear,0,haplolethal
0.175,0.5,0.1,0.5,6.0,linear,0,haplolethal
0.175,0.5,0.15,0.5,6.0,linear,1.00,haplolethal
0.175,0.5,0.2,0.5,6.0,linear,1.00,haplolethal
0.175,0.5,0.25,0.5,6.0,linear,1.00,haplolethal
0.175,0.5,0.3,0.5,6.0,linear,1.00,haplolethal
0.175,0.5,0.35,0.5,6.0,linear,1.00,haplolethal
0.175,0.5,0.4,0.5,6.0,linear,1.00,haplolethal
0.175,0.5,0.45,0.5,6.0,linear,1.00,haplolethal
0.175,0.5,0.5,0.5,6.0,linear,1.00,haplolethal
0.175,0.5,0.55,0.5,6.0,linear,1.00,haplolethal
0.175,0.5,0.6,0.5,6.0,linear,1.00,haplolethal
0.175,0.5,0.65,0.5,6.0,linear,1.00,haplolethal
0.175,0.5,0.7,0.5,6.0,linear,1.00,haplolethal
0.175,0.5,0.75,0.5,6.0,linear,1.00,haplolethal
0.175,0.5,0.8,0.5,6.0,linear,1.00,haplolethal
0.175,0.5,0.85,0.5,6.0,linear,1.00,haplolethal
0.175,0.5,0.9,0.5,6.0,linear,1.00,haplolethal
0.175,0.5,0.95,0.5,6.0,linear,1.00,haplolethal
0.175,0.5,1.0,0.5,6.0,linear,1.00,haplolethal
0.200,0.5,0.0,0.5,6.0,linear,0,haplolethal
0.200,0.5,0.05,0.5,6.0,linear,0,haplolethal
0.200,0.5,0.1,0.5,6.0,linear,1.00,haplolethal
0.200,0.5,0.15,0.5,6.0,linear,1.00,haplolethal
0.200,0.5,0.2,0.5,6.0,linear,1.00,haplolethal
0.200,0.5,0.25,0.5,6.0,linear,1.00,haplolethal
0.200,0.5,0.3,0.5,6.0,linear,1.00,haplolethal
0.200,0.5,0.35,0.5,6.0,linear,1.00,haplolethal
0.200,0.5,0.4,0.5,6.0,linear,1.00,haplolethal
0.200,0.5,0.45,0.5,6.0,linear,1.00,haplolethal
0.200,0.5,0.5,0.5,6.0,linear,1.00,haplolethal
0.200,0.5,0.55,0.5,6.0,linear,1.00,haplolethal
0.200,0.5,0.6,0.5,6.0,linear,1.00,haplolethal
0.200,0.5,0.65,0.5,6.0,linear,1.00,haplolethal
0.200,0.5,0.7,0.5,6.0,linear,1.00,haplolethal
0.200,0.5,0.75,0.5,6.0,linear,1.00,haplolethal
0.200,0.5,0.8,0.5,6.0,linear,1.00,haplolethal
0.200,0.5,0.85,0.5,6.0,linear,1.00,haplolethal
0.200,0.5,0.9,0.5,6.0,linear,1.00,haplolethal
0.200,0.5,0.95,0.5,6.0,linear,1.00,haplolethal
0.200,0.5,1.0,0.5,6.0,linear,1.00,haplolethal
0.225,0.5,0.0,0.5,6.0,linear,0,haplolethal
0.225,0.5,0.05,0.5,6.0,linear,0,haplolethal
0.225,0.5,0.1,0.5,6.0,linear,1.00,haplolethal
0.225,0.5,0.15,0.5,6.0,linear,1.00,haplolethal
0.225,0.5,0.2,0.5,6.0,linear,1.00,haplolethal
0.225,0.5,0.25,0.5,6.0,linear,1.00,haplolethal
0.225,0.5,0.3,0.5,6.0,linear,1.00,haplolethal
0.225,0.5,0.35,0.5,6.0,linear,1.00,haplolethal
0.225,0.5,0.4,0.5,6.0,linear,1.00,haplolethal
0.225,0.5,0.45,0.5,6.0,linear,1.00,haplolethal
0.225,0.5,0.5,0.5,6.0,linear,1.00,haplolethal
0.225,0.5,0.55,0.5,6.0,linear,1.00,haplolethal
0.225,0.5,0.6,0.5,6.0,linear,1.00,haplolethal
0.225,0.5,0.65,0.5,6.0,linear,1.00,haplolethal
0.225,0.5,0.7,0.5,6.0,linear,1.00,haplolethal
0.225,0.5,0.75,0.5,6.0,linear,1.00,haplolethal
0.225,0.5,0.8,0.5,6.0,linear,1.00,haplolethal
0.225,0.5,0.85,0.5,6.0,linear,1.00,haplolethal
0.225,0.5,0.9,0.5,6.0,linear,1.00,haplolethal
0.225,0.5,0.95,0.5,6.0,linear,1.00,haplolethal
0.225,0.5,1.0,0.5,6.0,linear,1.00,haplolethal
0.250,0.5,0.0,0.5,6.0,linear,0,haplolethal
0.250,0.5,0.05,0.5,6.0,linear,1.00,haplolethal
0.250,0.5,0.1,0.5,6.0,linear,1.00,haplolethal
0.250,0.5,0.15,0.5,6.0,linear,1.00,haplolethal
0.250,0.5,0.2,0.5,6.0,linear,1.00,haplolethal
0.250,0.5,0.25,0.5,6.0,linear,1.00,haplolethal
0.250,0.5,0.3,0.5,6.0,linear,1.00,haplolethal
0.250,0.5,0.35,0.5,6.0,linear,1.00,haplolethal
0.250,0.5,0.4,0.5,6.0,linear,1.00,haplolethal
0.250,0.5,0.45,0.5,6.0,linear,1.00,haplolethal
0.250,0.5,0.5,0.5,6.0,linear,1.00,haplolethal
0.250,0.5,0.55,0.5,6.0,linear,1.00,haplolethal
0.250,0.5,0.6,0.5,6.0,linear,1.00,haplolethal
0.250,0.5,0.65,0.5,6.0,linear,1.00,haplolethal
0.250,0.5,0.7,0.5,6.0,linear,1.00,haplolethal
0.250,0.5,0.75,0.5,6.0,linear,1.00,haplolethal
0.250,0.5,0.8,0.5,6.0,linear,1.00,haplolethal
0.250,0.5,0.85,0.5,6.0,linear,1.00,haplolethal
0.250,0.5,0.9,0.5,6.0,linear,1.00,haplolethal
0.250,0.5,0.95,0.5,6.0,linear,1.00,haplolethal
0.250,0.5,1.0,0.5,6.0,linear,1.00,haplolethal
0.275,0.5,0.0,0.5,6.0,linear,0,haplolethal
0.275,0.5,0.05,0.5,6.0,linear,1.00,haplolethal
0.275,0.5,0.1,0.5,6.0,linear,1.00,haplolethal
0.275,0.5,0.15,0.5,6.0,linear,1.00,haplolethal
0.275,0.5,0.2,0.5,6.0,linear,1.00,haplolethal
0.275,0.5,0.25,0.5,6.0,linear,1.00,haplolethal
0.275,0.5,0.3,0.5,6.0,linear,1.00,haplolethal
0.275,0.5,0.35,0.5,6.0,linear,1.00,haplolethal
0.275,0.5,0.4,0.5,6.0,linear,1.00,haplolethal
0.275,0.5,0.45,0.5,6.0,linear,1.00,haplolethal
0.275,0.5,0.5,0.5,6.0,linear,1.00,haplolethal
0.275,0.5,0.55,0.5,6.0,linear,1.00,haplolethal
0.275,0.5,0.6,0.5,6.0,linear,1.00,haplolethal
0.275,0.5,0.65,0.5,6.0,linear,1.00,haplolethal
0.275,0.5,0.7,0.5,6.0,linear,1.00,haplolethal
0.275,0.5,0.75,0.5,6.0,linear,1.00,haplolethal
0.275,0.5,0.8,0.5,6.0,linear,1.00,haplolethal
0.275,0.5,0.85,0.5,6.0,linear,1.00,haplolethal
0.275,0.5,0.9,0.5,6.0,linear,1.00,haplolethal
0.275,0.5,0.95,0.5,6.0,linear,1.00,haplolethal
0.275,0.5,1.0,0.5,6.0,linear,1.00,haplolethal
0.300,0.5,0.0,0.5,6.0,linear,0,haplolethal
0.300,0.5,0.05,0.5,6.0,linear,1.00,haplolethal
0.300,0.5,0.1,0.5,6.0,linear,1.00,haplolethal
0.300,0.5,0.15,0.5,6.0,linear,1.00,haplolethal
0.300,0.5,0.2,0.5,6.0,linear,1.00,haplolethal
0.300,0.5,0.25,0.5,6.0,linear,1.00,haplolethal
0.300,0.5,0.3,0.5,6.0,linear,1.00,haplolethal
0.300,0.5,0.35,0.5,6.0,linear,1.00,haplolethal
0.300,0.5,0.4,0.5,6.0,linear,1.00,haplolethal
0.300,0.5,0.45,0.5,6.0,linear,1.00,haplolethal
0.300,0.5,0.5,0.5,6.0,linear,1.00,haplolethal
0.300,0.5,0.55,0.5,6.0,linear,1.00,haplolethal
0.300,0.5,0.6,0.5,6.0,linear,1.00,haplolethal
0.300,0.5,0.65,0.5,6.0,linear,1.00,haplolethal
0.300,0.5,0.7,0.5,6.0,linear,1.00,haplolethal
0.300,0.5,0.75,0.5,6.0,linear,1.00,haplolethal
0.300,0.5,0.8,0.5,6.0,linear,1.00,haplolethal
0.300,0.5,0.85,0.5,6.0,linear,1.00,haplolethal
0.300,0.5,0.9,0.5,6.0,linear,1.00,haplolethal
0.300,0.5,0.95,0.5,6.0,linear,1.00,haplolethal
0.300,0.5,1.0,0.5,6.0,linear,1.00,haplolethal
0.325,0.5,0.0,0.5,6.0,linear,0,haplolethal
0.325,0.5,0.05,0.5,6.0,linear,1.00,haplolethal
0.325,0.5,0.1,0.5,6.0,linear,1.00,haplolethal
0.325,0.5,0.15,0.5,6.0,linear,1.00,haplolethal
0.325,0.5,0.2,0.5,6.0,linear,1.00,haplolethal
0.325,0.5,0.25,0.5,6.0,linear,1.00,haplolethal
0.325,0.5,0.3,0.5,6.0,linear,1.00,haplolethal
0.325,0.5,0.35,0.5,6.0,linear,1.00,haplolethal
0.325,0.5,0.4,0.5,6.0,linear,1.00,haplolethal
0.325,0.5,0.45,0.5,6.0,linear,1.00,haplolethal
0.325,0.5,0.5,0.5,6.0,linear,1.00,haplolethal
0.325,0.5,0.55,0.5,6.0,linear,1.00,haplolethal
0.325,0.5,0.6,0.5,6.0,linear,1.00,haplolethal
0.325,0.5,0.65,0.5,6.0,linear,1.00,haplolethal
0.325,0.5,0.7,0.5,6.0,linear,1.00,haplolethal
0.325,0.5,0.75,0.5,6.0,linear,1.00,haplolethal
0.325,0.5,0.8,0.5,6.0,linear,1.00,haplolethal
0.325,0.5,0.85,0.5,6.0,linear,1.00,haplolethal
0.325,0.5,0.9,0.5,6.0,linear,1.00,haplolethal
0.325,0.5,0.95,0.5,6.0,linear,1.00,haplolethal
0.325,0.5,1.0,0.5,6.0,linear,1.00,haplolethal
0.350,0.5,0.0,0.5,6.0,linear,0,haplolethal
0.350,0.5,0.05,0.5,6.0,linear,1.00,haplolethal
0.350,0.5,0.1,0.5,6.0,linear,1.00,haplolethal
0.350,0.5,0.15,0.5,6.0,linear,1.00,haplolethal
0.350,0.5,0.2,0.5,6.0,linear,1.00,haplolethal
0.350,0.5,0.25,0.5,6.0,linear,1.00,haplolethal
0.350,0.5,0.3,0.5,6.0,linear,1.00,haplolethal
0.350,0.5,0.35,0.5,6.0,linear,1.00,haplolethal
0.350,0.5,0.4,0.5,6.0,linear,1.00,haplolethal
0.350,0.5,0.45,0.5,6.0,linear,1.00,haplolethal
0.350,0.5,0.5,0.5,6.0,linear,1.00,haplolethal
0.350,0.5,0.55,0.5,6.0,linear,1.00,haplolethal
0.350,0.5,0.6,0.5,6.0,linear,1.00,haplolethal
0.350,0.5,0.65,0.5,6.0,linear,1.00,haplolethal
0.350,0.5,0.7,0.5,6.0,linear,1.00,haplolethal
0.350,0.5,0.75,0.5,6.0,linear,1.00,haplolethal
0.350,0.5,0.8,0.5,6.0,linear,1.00,haplolethal
0.350,0.5,0.85,0.5,6.0,linear,1.00,haplolethal
0.350,0.5,0.9,0.5,6.0,linear,1.00,haplolethal
0.350,0.5,0.95,0.5,6.0,linear,1.00,haplolethal
0.350,0.5,1.0,0.5,6.0,linear,1.00,haplolethal
0.375,0.5,0.0,0.5,6.0,linear,0,haplolethal
0.375,0.5,0.05,0.5,6.0,linear,1.00,haplolethal
0.375,0.5,0.1,0.5,6.0,linear,1.00,haplolethal
0.375,0.5,0.15,0.5,6.0,linear,1.00,haplolethal
0.375,0.5,0.2,0.5,6.0,linear,1.00,haplolethal
0.375,0.5,0.25,0.5,6.0,linear,1.00,haplolethal
0.375,0.5,0.3,0.5,6.0,linear,1.00,haplolethal
0.375,0.5,0.35,0.5,6.0,linear,1.00,haplolethal
0.375,0.5,0.4,0.5,6.0,linear,1.00,haplolethal
0.375,0.5,0.45,0.5,6.0,linear,1.00,haplolethal
0.375,0.5,0.5,0.5,6.0,linear,1.00,haplolethal
0.375,0.5,0.55,0.5,6.0,linear,1.00,haplolethal
0.375,0.5,0.6,0.5,6.0,linear,1.00,haplolethal
0.375,0.5,0.65,0.5,6.0,linear,1.00,haplolethal
0.375,0.5,0.7,0.5,6.0,linear,1.00,haplolethal
0.375,0.5,0.75,0.5,6.0,linear,1.00,haplolethal
0.375,0.5,0.8,0.5,6.0,linear,1.00,haplolethal
0.375,0.5,0.85,0.5,6.0,linear,1.00,haplolethal
0.375,0.5,0.9,0.5,6.0,linear,1.00,haplolethal
0.375,0.5,0.95,0.5,6.0,linear,1.00,haplolethal
0.375,0.5,1.0,0.5,6.0,linear,1.00,haplolethal
0.400,0.5,0.0,0.5,6.0,linear,0,haplolethal
0.400,0.5,0.05,0.5,6.0,linear,1.00,haplolethal
0.400,0.5,0.1,0.5,6.0,linear,1.00,haplolethal
0.400,0.5,0.15,0.5,6.0,linear,1.00,haplolethal
0.400,0.5,0.2,0.5,6.0,linear,1.00,haplolethal
0.400,0.5,0.25,0.5,6.0,linear,1.00,haplolethal
0.400,0.5,0.3,0.5,6.0,linear,1.00,haplolethal
0.400,0.5,0.35,0.5,6.0,linear,1.00,haplolethal
0.400,0.5,0.4,0.5,6.0,linear,1.00,haplolethal
0.400,0.5,0.45,0.5,6.0,linear,1.00,haplolethal
0.400,0.5,0.5,0.5,6.0,linear,1.00,haplolethal
0.400,0.5,0.55,0.5,6.0,linear,1.00,haplolethal
0.400,0.5,0.6,0.5,6.0,linear,1.00,haplolethal
0.400,0.5,0.65,0.5,6.0,linear,1.00,haplolethal
0.400,0.5,0.7,0.5,6.0,linear,1.00,haplolethal
0.400,0.5,0.75,0.5,6.0,linear,1.00,haplolethal
0.400,0.5,0.8,0.5,6.0,linear,1.00,haplolethal
0.400,0.5,0.85,0.5,6.0,linear,1.00,haplolethal
0.400,0.5,0.9,0.5,6.0,linear,1.00,haplolethal
0.400,0.5,0.95,0.5,6.0,linear,1.00,haplolethal
0.400,0.5,1.0,0.5,6.0,linear,1.00,haplolethal
0.425,0.5,0.0,0.5,6.0,linear,0,haplolethal
0.425,0.5,0.05,0.5,6.0,linear,1.00,haplolethal
0.425,0.5,0.1,0.5,6.0,linear,1.00,haplolethal
0.425,0.5,0.15,0.5,6.0,linear,1.00,haplolethal
0.425,0.5,0.2,0.5,6.0,linear,1.00,haplolethal
0.425,0.5,0.25,0.5,6.0,linear,1.00,haplolethal
0.425,0.5,0.3,0.5,6.0,linear,1.00,haplolethal
0.425,0.5,0.35,0.5,6.0,linear,1.00,haplolethal
0.425,0.5,0.4,0.5,6.0,linear,1.00,haplolethal
0.425,0.5,0.45,0.5,6.0,linear,1.00,haplolethal
0.425,0.5,0.5,0.5,6.0,linear,1.00,haplolethal
0.425,0.5,0.55,0.5,6.0,linear,1.00,haplolethal
0.425,0.5,0.6,0.5,6.0,linear,1.00,haplolethal
0.425,0.5,0.65,0.5,6.0,linear,1.00,haplolethal
0.425,0.5,0.7,0.5,6.0,linear,1.00,haplolethal
0.425,0.5,0.75,0.5,6.0,linear,1.00,haplolethal
0.425,0.5,0.8,0.5,6.0,linear,1.00,haplolethal
0.425,0.5,0.85,0.5,6.0,linear,1.00,haplolethal
0.425,0.5,0.9,0.5,6.0,linear,1.00,haplolethal
0.425,0.5,0.95,0.5,6.0,linear,1.00,haplolethal
0.425,0.5,1.0,0.5,6.0,linear,1.00,haplolethal
0.450,0.5,0.0,0.5,6.0,linear,0,haplolethal
0.450,0.5,0.05,0.5,6.0,linear,1.00,haplolethal
0.450,0.5,0.1,0.5,6.0,linear,1.00,haplolethal
0.450,0.5,0.15,0.5,6.0,linear,1.00,haplolethal
0.450,0.5,0.2,0.5,6.0,linear,1.00,haplolethal
0.450,0.5,0.25,0.5,6.0,linear,1.00,haplolethal
0.450,0.5,0.3,0.5,6.0,linear,1.00,haplolethal
0.450,0.5,0.35,0.5,6.0,linear,1.00,haplolethal
0.450,0.5,0.4,0.5,6.0,linear,1.00,haplolethal
0.450,0.5,0.45,0.5,6.0,linear,1.00,haplolethal
0.450,0.5,0.5,0.5,6.0,linear,1.00,haplolethal
0.450,0.5,0.55,0.5,6.0,linear,1.00,haplolethal
0.450,0.5,0.6,0.5,6.0,linear,1.00,haplolethal
0.450,0.5,0.65,0.5,6.0,linear,1.00,haplolethal
0.450,0.5,0.7,0.5,6.0,linear,1.00,haplolethal
0.450,0.5,0.75,0.5,6.0,linear,1.00,haplolethal
0.450,0.5,0.8,0.5,6.0,linear,1.00,haplolethal
0.450,0.5,0.85,0.5,6.0,linear,1.00,haplolethal
0.450,0.5,0.9,0.5,6.0,linear,1.00,haplolethal
0.450,0.5,0.95,0.5,6.0,linear,1.00,haplolethal
0.450,0.5,1.0,0.5,6.0,linear,1.00,haplolethal
0.475,0.5,0.0,0.5,6.0,linear,0,haplolethal
0.475,0.5,0.05,0.5,6.0,linear,1.00,haplolethal
0.475,0.5,0.1,0.5,6.0,linear,1.00,haplolethal
0.475,0.5,0.15,0.5,6.0,linear,1.00,haplolethal
0.475,0.5,0.2,0.5,6.0,linear,1.00,haplolethal
0.475,0.5,0.25,0.5,6.0,linear,1.00,haplolethal
0.475,0.5,0.3,0.5,6.0,linear,1.00,haplolethal
0.475,0.5,0.35,0.5,6.0,linear,1.00,haplolethal
0.475,0.5,0.4,0.5,6.0,linear,1.00,haplolethal
0.475,0.5,0.45,0.5,6.0,linear,1.00,haplolethal
0.475,0.5,0.5,0.5,6.0,linear,1.00,haplolethal
0.475,0.5,0.55,0.5,6.0,linear,1.00,haplolethal
0.475,0.5,0.6,0.5,6.0,linear,1.00,haplolethal
0.475,0.5,0.65,0.5,6.0,linear,1.00,haplolethal
0.475,0.5,0.7,0.5,6.0,linear,1.00,haplolethal
0.475,0.5,0.75,0.5,6.0,linear,1.00,haplolethal
0.475,0.5,0.8,0.5,6.0,linear,1.00,haplolethal
0.475,0.5,0.85,0.5,6.0,linear,1.00,haplolethal
0.475,0.5,0.9,0.5,6.0,linear,1.00,haplolethal
0.475,0.5,0.95,0.5,6.0,linear,1.00,haplolethal
0.475,0.5,1.0,0.5,6.0,linear,1.00,haplolethal
0.500,0.5,0.0,0.5,6.0,linear,0,haplolethal
0.500,0.5,0.05,0.5,6.0,linear,1.00,haplolethal
0.500,0.5,0.1,0.5,6.0,linear,1.00,haplolethal
0.500,0.5,0.15,0.5,6.0,linear,1.00,haplolethal
0.500,0.5,0.2,0.5,6.0,linear,1.00,haplolethal
